Parent Genre,Genre / Subgenre,Level,BPM Min,BPM Max,Typical BPM,Common Keys,Camelot,Drum Feel,DJ Set Placement,Energy (1-10),Mixes Well With,Transition Tip,Sound Colour FX,Beat FX,Transition Loop (bars),Beat FX Setting (beat),Beat FX Depth (%),Mix-In / Mix-Out,Vocal Density / Layerability,Double-Drop / Mashup,Blend Length (bars),Intro (bars),Intro Feel,Build (bars),Build Feel,Drop/Main (bars),Drop/Main Feel,Breakdown (bars),Breakdown Feel,Outro (bars),Outro Feel,Typical Length,Phrasing,Track Structure,Origin,Era,Sound Signature,Sound Design / Instrumentation,Drum Programming,Harmony Approach,Production Techniques,Scale / Mode,Chord Progression,Essential Synths / Plugins,Mix / Master Targets,Representative Artists,Landmark Track,Key Labels,Peak / Momentum (yrs),Fuses Into / Related,Notes,Top Track 1,Top Track 2,Top Track 3,Top Track 4,Top Track 5
Trap / Future Bass,Trap / Future Bass,Genre,140,160,140-160 (70-80 half),Minor (E/F/G min),"9A, 4A, 6A",Halftime,Festival,7,"Dubstep, Hip-Hop, Twerk",Halftime bridge; drop-swap on the 1,Filter + Crush + Pitch - pitch/crush for flavour,"Roll to build, Vinyl Brake (tape stop) into drop, Reverb wash",2-4 bars,Roll 1/8-1/16; Vinyl Brake (tape stop); Reverb,build 50->100%,In: intro. Out: tape-stop or on the hook - short blends,Med-High - vocal-led,Med - drop-swaps work,4-8 bars,16,Melodic/vocal set-up,8,"Snare-roll tension, pause",16,808 slam + triplet hats (trap) / lush euphoric chords (future bass),16,Vocal/melodic breather,16,Tail for mix,3-4 min,8/16-bar,Intro -> vocal/build -> drop with 808s & triplet hats (16 bars) -> breakdown -> second drop -> outro. 70/140 halftime.,USA,early 2010s,"808 sub, triplet hats (trap) or lush chords (future bass)","808 sub-bass, brass/flute leads or detuned supersaws, vocal chops","Booming 808, triplet/rolling hi-hats, snappy snare on 3",Dark minor (trap) or lush supersaw chords (future bass),"808 tuning/glide, hi-hat rolls, vocal chopping, halftime space",Natural minor (trap) / major (future bass),i-VI-VII (trap) / IV-V-iii-vi lush (future bass),"808 (Serum), trap hats / Serum supersaw chords",Master ~-8 LUFS; booming 808 mono <100Hz; bright hats,"RL Grime, Flume, Baauer",Baauer - Harlem Shake,"Mad Decent, OWSLA",peak 2013-17,"Dubstep, Hip-Hop",,Harlem Shake - Baauer (2012),Never Be Like You - Flume ft Kai (2016),Core - RL Grime (2014),Turn Down for What - DJ Snake & Lil Jon (2013),Get Low - Dillon Francis & DJ Snake (2014)
Trap / Future Bass,Trap,Subgenre,140,160,140-160,Minor (E/F/G min),"9A, 4A, 6A",,,7,"Future Bass, Hip-Hop, Dubstep, Twerk",Halftime bridge; drop-swap on the 1,Filter + Crush + Pitch - pitch/crush flavour,"Roll to build, Vinyl Brake into the drop, Reverb wash",2-4 bars,Roll 1/8-1/16; Vinyl Brake (tape stop); Reverb,build 50->100%,In: intro. Out: tape-stop or on the hook - short blends,Med-High - vocal-led,Med - drop-swaps work,4-8 bars,16,Melodic/vocal set-up,8,"Snare-roll tension, pause",16,808 slam + triplet hats (trap) / lush euphoric chords (future bass),16,Vocal/melodic breather,16,Tail for mix,3-4 min,8/16-bar,Intro -> vocal/build -> drop with 808s & triplet hats (16 bars) -> breakdown -> second drop -> outro. 70/140 halftime.,,,"808 sub-bass, snappy triplet hi-hats and halftime hip-hop swagger","808 sub-bass, brass/flute/bell leads, vocal chops","Booming tuned 808, triplet/rolling hi-hats, snappy snare/clap on 3","Dark minor, sparse hook","808 tuning/glide, hi-hat rolls, vocal chopping, halftime space",Natural minor,i-VI-VII sparse minor,"808 (Serum), trap hats; Kontakt",Master ~-8 LUFS; booming 808 mono <100Hz; bright hats,"RL Grime, Baauer",,,,"Trap / Future Bass, Hip-Hop",,,,,,
Trap / Future Bass,Future Bass,Subgenre,130,160,130-160,Major & minor (C maj/A min),"8B, 8A",Halftime,Festival,6,"Trap, Dubstep, Dance/Pop",Vocal-out bridge; drop-swap,Filter + Pitch - pitch play on chords,Reverb & Echo washes; Roll on the build,2-4 bars,Reverb; Echo 1/1; Roll on build,40-70%,In: intro. Out: after the drop / vocal,High - vocal chops-led,Med - drop-swap,4-8 bars,16,Vocal/melodic set-up,8,Vocal-chop build tension,16,"Lush detuned-supersaw drop - euphoric, emotive",16,Vocal breather,16,Tail for mix,3-4 min,8/16-bar,Intro -> vocal build -> lush detuned-supersaw drop -> breakdown -> second drop -> outro.,USA/Australia,2010s,"Detuned supersaw chords, vocal chops","Detuned supersaw chords, pitched vocal chops, bright plucks","Punchy halftime, big snare/clap, rolling hats",Lush major & minor supersaw chords with wide voicings,"Supersaw detune/unison, chord automation, vocal chops, sidechain pump",Major (Lydian colour) / minor,IV-V-iii-vi lush supersaw,"Serum supersaw chords, Nexus; Serum",Master ~-8 to -9 LUFS; wide chords; mono sub,"Flume, San Holo",Flume - Never Be Like You,,peak 2015-18,"Trap, Dubstep",,Never Be Like You - Flume ft Kai (2016),Light - San Holo (2015),Alone - Marshmello (2016),Say My Name - ODESZA ft Zyra (2016),It's Strange - Louis The Child ft K.Flay (2015)
Trap / Future Bass,Hybrid Trap,Subgenre,140,150,140-150,Minor (E/F/G min),"9A, 4A, 6A",,,7,"Dubstep, Hip-Hop, Twerk",Halftime bridge; drop-swap on the 1,Filter + Crush + Pitch - pitch/crush for flavour,"Roll to build, Vinyl Brake (tape stop) into drop, Reverb wash",2-4 bars,Roll 1/8-1/16; Vinyl Brake (tape stop); Reverb,build 50->100%,In: intro. Out: tape-stop or on the hook - short blends,Med-High - vocal-led,Med - drop-swaps work,4-8 bars,16,Melodic/vocal set-up,8,"Snare-roll tension, pause",16,808 slam + triplet hats (trap) / lush euphoric chords (future bass),16,Vocal/melodic breather,16,Tail for mix,3-4 min,8/16-bar,Intro -> vocal/build -> drop with 808s & triplet hats (16 bars) -> breakdown -> second drop -> outro. 70/140 halftime.,,,Harder trap fused with dubstep-style drops and heavy bass design,"Heavy FM/dubstep bass + 808, aggressive leads",Trap 808 & triplet hats with dubstep-style drop hits,"Dark minor, bass-as-lead","Bass sound-design, drop layering, 808 + growl blend",Natural minor (trap) / major (future bass),i-VI-VII (trap) / IV-V-iii-vi lush (future bass),"808 (Serum), trap hats / Serum supersaw chords",Master ~-8 LUFS; booming 808 mono <100Hz; bright hats,,,,,"Trap / Future Bass, Dubstep",,,,,,
Trap / Future Bass,Hardwave,Subgenre,150,160,150-160,Minor (E/F/G min),"9A, 4A, 6A",,,7,"Dubstep, Hip-Hop, Twerk",Halftime bridge; drop-swap on the 1,Filter + Crush + Pitch - pitch/crush for flavour,"Roll to build, Vinyl Brake (tape stop) into drop, Reverb wash",2-4 bars,Roll 1/8-1/16; Vinyl Brake (tape stop); Reverb,build 50->100%,In: intro. Out: tape-stop or on the hook - short blends,Med-High - vocal-led,Med - drop-swaps work,4-8 bars,16,Melodic/vocal set-up,8,"Snare-roll tension, pause",16,808 slam + triplet hats (trap) / lush euphoric chords (future bass),16,Vocal/melodic breather,16,Tail for mix,3-4 min,8/16-bar,Intro -> vocal/build -> drop with 808s & triplet hats (16 bars) -> breakdown -> second drop -> outro. 70/140 halftime.,,,"Emotional, distorted trap/wave hybrid - anime-core, gritty synths","Distorted supersaws, gritty 808, anime-core leads",Trap halftime with distorted drop hits,"Emotional minor, wide chords","Distortion/saturation, supersaw layering, 808 design, cinematic FX",Natural minor (trap) / major (future bass),i-VI-VII (trap) / IV-V-iii-vi lush (future bass),"808 (Serum), trap hats / Serum supersaw chords",Master ~-8 LUFS; booming 808 mono <100Hz; bright hats,,,,,"Trap, Midtempo",,,,,,
UK Garage / Bassline,UK Garage / Bassline,Genre,130,140,130-140,Minor & major (A min/C maj),"8A, 8B",Syncopated (2-step),Peak,6,"Bassline, Speed Garage, 2-Step, House","Swing-match, blend on the 2-step groove",Filter + Dub Echo - echo the vocal chops,Echo & Roll on the swing; Reverb wash-outs,4-8 bars,Echo 1/1; Roll 1/4,30-50%,In: intro. Out: from the breakdown; mind the swing,High - soulful vocals; avoid two vocals,Low-Med - align on the drop,8-16 bars,8-16,Skippy 2-step groove drops in,-,Vocal-chop & bass tension,16,"Swung bassline bounce - flirty, dancefloor energy",16,Vocal/atmo breather,8-16,Short tail for mix,3-5 min,8/16-bar,"Loop/groove-based; syncopated 2-step drums, sub-bass, chopped vocals. Shorter arrangement, DJ-tool edits common.","London, UK",mid 1990s,"Shuffled 2-step swing, chopped vocals, sub-bass","Chopped soul vocals, warm sub, organ bass, skippy hats","2-step swung kick/snare, shuffled hats, syncopation","Soulful minor/major chords, vocal-led","Vocal chop/time-stretch, swing quantize, sub-bass, garage shuffle","Dorian / minor, soulful",ii7-V7 soulful garage chords,"Chopped vocals, Reese/organ bass; Serum",Master ~-8 LUFS; swung groove; mono sub,"MJ Cole, Interplanetary Criminal",,,1997-2001; revival 2021-present,"Speed Garage, Bassline",,Re-Rewind - Artful Dodger ft Craig David (1999),Flowers - Sweet Female Attitude (2000),Sincere - MJ Cole (1998),Little Bit of Luck - DJ Luck & MC Neat (1999),Crazy Love - MJ Cole (2000)
UK Garage / Bassline,UK Garage,Subgenre,130,135,130-135,Minor & major (A min/C maj),"8A, 8B",,,6,"Bassline, Speed Garage, 2-Step, House","Swing-match, blend on the 2-step groove",Filter + Dub Echo - echo the vocal chops,Echo & Roll on the swing; Reverb wash-outs,4-8 bars,Echo 1/1; Roll 1/4,30-50%,In: intro. Out: from the breakdown; mind the swing,High - soulful vocals; avoid two vocals,Low-Med - align on the drop,8-16 bars,8-16,Skippy 2-step groove drops in,-,Vocal-chop & bass tension,16,"Swung bassline bounce - flirty, dancefloor energy",16,Vocal/atmo breather,8-16,Short tail for mix,3-5 min,8/16-bar,"Loop/groove-based; syncopated 2-step drums, sub-bass, chopped vocals. Shorter arrangement, DJ-tool edits common.",,,"Skippy, swung 2-step drums, chopped soul vocals and warm sub-bass","Chopped soul vocals, warm organ/sub bass, skippy hats","Swung 2-step kick & snare, shuffled 16th hats","Soulful minor/major 7ths, vocal-led","Vocal chopping/time-stretch, swing, sub-bass, shuffle groove","Dorian / minor, soulful",ii7-V7 soulful garage chords,"Chopped vocals, Reese/organ bass; Serum",Master ~-8 LUFS; swung groove; mono sub,"MJ Cole, Todd Edwards",,,,UK Garage / Bassline,,,,,,
UK Garage / Bassline,Bassline,Subgenre,135,140,135-140,Minor & major (A min/C maj),"8A, 8B",,,6,"Bassline, Speed Garage, 2-Step, House","Swing-match, blend on the 2-step groove",Filter + Dub Echo - echo the vocal chops,Echo & Roll on the swing; Reverb wash-outs,4-8 bars,Echo 1/1; Roll 1/4,30-50%,In: intro. Out: from the breakdown; mind the swing,High - soulful vocals; avoid two vocals,Low-Med - align on the drop,8-16 bars,8-16,Skippy 2-step groove drops in,-,Vocal-chop & bass tension,16,"Swung bassline bounce - flirty, dancefloor energy",16,Vocal/atmo breather,8-16,Short tail for mix,3-5 min,8/16-bar,"Loop/groove-based; syncopated 2-step drums, sub-bass, chopped vocals. Shorter arrangement, DJ-tool edits common.",,,"Bass-driven UK garage offshoot - wobbly, aggressive low-end at 135-140","Wobbly aggressive sub-bass, stabs, vocal chops",4/4 speed-garage kick with syncopated bass,"Minor, bass-hook led","Bass sound-design (wobble), sub focus, garage swing","Dorian / minor, soulful",ii7-V7 soulful garage chords,"Chopped vocals, Reese/organ bass; Serum",Master ~-8 LUFS; swung groove; mono sub,,,,,"UK Garage / Bassline, Speed Garage",,,,,,
UK Garage / Bassline,2-Step,Subgenre,130,135,130-135,Minor & major (A min/C maj),"8A, 8B",Syncopated (2-step),Peak,6,"Bassline, Speed Garage, 2-Step, House","Swing-match, blend on the 2-step groove",Filter + Dub Echo - echo the vocal chops,Echo & Roll on the swing; Reverb wash-outs,4-8 bars,Echo 1/1; Roll 1/4,30-50%,In: intro. Out: from the breakdown; mind the swing,High - soulful vocals; avoid two vocals,Low-Med - align on the drop,8-16 bars,8-16,Skippy 2-step groove drops in,-,Vocal-chop & bass tension,16,"Swung bassline bounce - flirty, dancefloor energy",16,Vocal/atmo breather,8-16,Short tail for mix,3-5 min,8/16-bar,"Loop/groove-based; syncopated 2-step drums, sub-bass, chopped vocals. Shorter arrangement, DJ-tool edits common.",UK,late 1990s,"Skippy off-kilter kick/snare, soulful vocals","Chopped soul/R&B vocals, warm sub, soft keys","Skippy off-kilter kick/snare (no 4/4), shuffled hats","Soulful minor/major chords, vocal-led","Vocal chopping, swing quantize, sub-bass, space","Dorian / minor, soulful",ii7-V7 soulful garage chords,"Chopped vocals, Reese/organ bass; Serum",Master ~-8 LUFS; swung groove; mono sub,"Artful Dodger, MJ Cole",,,1998-2001; revival 2021-present,UK Garage,,,,,,
UK Garage / Bassline,Speed Garage,Subgenre,135,140,135-140,Minor & major (A min/C maj),"8A, 8B",Syncopated,Peak,6,"Bassline, Speed Garage, 2-Step, House","Swing-match, blend on the 2-step groove",Filter + Dub Echo - echo the vocal chops,Echo & Roll on the swing; Reverb wash-outs,4-8 bars,Echo 1/1; Roll 1/4,30-50%,In: intro. Out: from the breakdown; mind the swing,High - soulful vocals; avoid two vocals,Low-Med - align on the drop,8-16 bars,8-16,Skippy 2-step groove drops in,-,Vocal-chop & bass tension,16,"Swung bassline bounce - flirty, dancefloor energy",16,Vocal/atmo breather,8-16,Short tail for mix,3-5 min,8/16-bar,"Loop/groove-based; syncopated 2-step drums, sub-bass, chopped vocals. Shorter arrangement, DJ-tool edits common.",UK,late 1990s,"Rolling bassline, 4/4 garage, sub wobble","Rolling reese/organ bassline, chopped vocals","4/4 kick with rolling syncopated bass, garage hats","Minor, bass-hook led","Rolling bass design, sub wobble, swing, sub-bass","Dorian / minor, soulful",ii7-V7 soulful garage chords,"Chopped vocals, Reese/organ bass; Serum",Master ~-8 LUFS; swung groove; mono sub,Todd Edwards,,,1997-99; revival 2021-present,"UK Garage, Bassline",,,,,,
Open Format (adjacent),Afrobeats,Genre,100,115,100-115,Minor & major (A min/C maj),"8A, 8B",Syncopated,Peak,6,"Amapiano, Afro House, Dancehall","Percussion-loop bridge, vocal in/out",Filter + Dub Echo - echo the percussion,Echo & Reverb; Roll on the groove,4-8 bars,Echo 1/1; Reverb,30-50%,In/Out: over the groove - forgiving,High - vocal-led; watch clashes,Low - groove based,8-16 bars,n/a,Percussive vocal set-up,n/a,Pre-hook lift,n/a,"Hook - infectious, feel-good peak",n/a,Verse dip,n/a,Fade/tail,3-4 min,verse/chorus,"Song-form: intro -> verse -> hook -> verse -> hook -> outro; percussive, vocal-led.",Nigeria/Ghana,2000s,"West-African pop rhythms, log-drum & percussion","Log-drum/African percussion, guitars, bright synths, melodic bass","Syncopated Afro rhythm, shakers, rim, off-kilter kick","Pop-friendly major/minor, guitar riffs","Percussion groove, vocal hooks, melodic bass, spacious mix","Major / Mixolydian, pentatonic",I-IV-V / i-VI pop-friendly,"Log-drum/perc, guitars, bright synths; Kontakt",Master ~-9 LUFS; vocal-forward; mono sub,"Burna Boy, Wizkid, Rema",Rema - Calm Down,,surging 2019-present,"Afropop, Amapiano",Beatport 'African' cluster,Essence - Wizkid ft Tems (2020),Ye - Burna Boy (2018),Calm Down - Rema (2022),Fall - Davido (2017),Love Nwantiti - CKay (2019)
Open Format (adjacent),Afropop,Subgenre,100,115,100-115,varies,-,,,6,(varies by style),"Song-form blend, vocal in/out",Filter + Dub Echo - vocal-friendly colour,"Echo on vocals, Reverb & Vinyl Brake for edits",2-4 bars,Echo 1/1 on vocal; Reverb; Vinyl Brake,30-50%,In: intro. Out: after the hook / tape-stop,High - vocal-led,Med - drop/beat-swap,4-8 bars,n/a,Vocal/melodic set-up,n/a,Pre-hook lift,n/a,Hook - main energy,n/a,Verse dip,n/a,Fade/tail,3-4 min,verse/chorus,"Song-form: intro -> verse -> hook -> verse -> hook -> outro; polished Afro-pop, vocal-led.",,,"Polished, melodic Afro-pop - smooth vocals over West-African rhythms","Smooth synths, guitars, melodic bass, Afro percussion","Relaxed Afro groove, shakers, rim clicks","Bright major/minor pop, catchy hooks","Polished vocal production, melodic bass, clean mix",Major / minor,Hook-driven,Genre-specific; samplers,Master ~-9 LUFS; vocal-forward,"Wizkid, Rema",,,,Afrobeats,,,,,,
Open Format (adjacent),Alte,Subgenre,95,110,95-110,varies,-,,,6,(varies by style),"Song-form blend, vocal in/out",Filter + Dub Echo - vocal-friendly colour,"Echo on vocals, Reverb & Vinyl Brake for edits",2-4 bars,Echo 1/1 on vocal; Reverb; Vinyl Brake,30-50%,In: intro. Out: after the hook / tape-stop,High - vocal-led,Med - drop/beat-swap,4-8 bars,n/a,Vocal/melodic set-up,n/a,Pre-hook lift,n/a,Hook - main energy,n/a,Verse dip,n/a,Fade/tail,3-4 min,verse/chorus,"Song-form, alternative Afro: intro -> verse -> hook -> bridge -> outro; genre-fluid, vocal-led.",,,"Genre-fluid alternative Afro sound - moody, experimental, vocal-led","Vocal-led, genre-specific instrumentation",Song-form beat for the style,Hook-driven major/minor,"Vocal production forward, radio mix",Major / minor,Hook-driven,Genre-specific; samplers,Master ~-9 LUFS; vocal-forward,,,,,Afrobeats,,,,,,
Open Format (adjacent),Soca,Subgenre,120,135,120-135,Major (C/G maj),"8B, 9B",,,6,(varies by style),"Song-form blend, vocal in/out",Filter + Dub Echo - vocal-friendly colour,"Echo on vocals, Reverb & Vinyl Brake for edits",2-4 bars,Echo 1/1 on vocal; Reverb; Vinyl Brake,30-50%,In: intro. Out: after the hook / tape-stop,High - vocal-led,Med - drop/beat-swap,4-8 bars,n/a,Vocal/melodic set-up,n/a,Pre-hook lift,n/a,Hook - main energy,n/a,Verse dip,n/a,Fade/tail,3-4 min,verse/chorus,Song-form carnival: intro -> verse -> chorus/chant -> break -> chorus -> outro; up-tempo percussion.,,,"Fast, high-energy Caribbean carnival music - driving percussion & chants","Driving percussion, brass stabs, bright synths","Fast carnival groove, congas, kick-driven","Bright major, chant hooks","Percussion energy, brass, call-and-response vocals",Major / minor,Hook-driven,Genre-specific; samplers,Master ~-9 LUFS; vocal-forward,Machel Montano,,,,"Caribbean, Dancehall",Beatport Caribbean cluster,,,,,
Open Format (adjacent),Dancehall,Subgenre,90,110,90-110,Minor & major,"8A, 8B",,,6,(varies by style),"Song-form blend, vocal in/out",Filter + Dub Echo - vocal-friendly colour,"Echo on vocals, Reverb & Vinyl Brake for edits",2-4 bars,Echo 1/1 on vocal; Reverb; Vinyl Brake,30-50%,In: intro. Out: after the hook / tape-stop,High - vocal-led,Med - drop/beat-swap,4-8 bars,n/a,Vocal/melodic set-up,n/a,Pre-hook lift,n/a,Hook - main energy,n/a,Verse dip,n/a,Fade/tail,3-4 min,verse/chorus,Song-form over riddim: intro -> verse -> hook -> verse -> hook -> outro; vocal/DJ-led.,,,Jamaican riddim-based vocal/DJ music with dembow-style bounce,"Riddim synths, deep bass, vocal-led","Dembow-style riddim, snappy snare","Minor, hook-driven","Riddim programming, vocal production, sub-bass",Major / minor,Hook-driven,Genre-specific; samplers,Master ~-9 LUFS; vocal-forward,,,,,"Reggae, Bass/Club",,,,,,
Open Format (adjacent),Hip-Hop,Genre,80,110,80-110,Minor (F/G/A min),"4A, 6A, 8A",Halftime / boom-bap,Warmup,6,(varies by style),"Song-form blend, vocal in/out",Filter + Pitch - pitch play & filter blends,"Vinyl Brake (tape stop), Echo on vocals, Reverb",2-4 bars,Vinyl Brake (tape stop); Echo on vocal; Reverb,30-60% + full tape stop,In: intro. Out: tape-stop / on the hook,High - vocal-led; avoid two vocals,"Med - beat-swap, tape-stop",4-8 bars,n/a,Beat & vocal set-up,n/a,n/a,n/a,"Hook - main energy, head-nod",n/a,Verse dip,n/a,Beat fade,3-4 min,verse/chorus,Song-form: intro -> verse -> hook -> verse -> hook -> outro; vocal-led over 808/sampled beat.,"New York, USA",1970s,Rap over sampled/808 beats,"808 sub, sampled loops, keys, vinyl textures","Boom-bap or trap 808 kit, swung, hard snare","Sampled loops, soul/minor chords","Sampling, 808 tuning, swing, vocal-forward mix",Major / minor,Hook-driven,Genre-specific; samplers,Master ~-9 LUFS; vocal-forward,"Drake, Kendrick Lamar",,,1979-present,"Trap, R&B",Beatport open-format,Sicko Mode - Travis Scott (2018),HUMBLE. - Kendrick Lamar (2017),God's Plan - Drake (2018),Juicy - The Notorious B.I.G. (1994),N.Y. State of Mind - Nas (1994)
